t,epoch,loss,val_loss,ivw,evw,ivw_ann,wp_loss,triax_loss
93,94.0,3.156561e-09,1.1836447e-08,89057.83,89140.555,89140.055,0.0,0.0
94,95.0,3.7189263e-09,1.2590609e-08,88184.516,88270.89,88186.516,0.0,0.0
95,96.0,3.782406e-09,1.2751861e-08,78053.83,78112.4,78107.03,0.0,0.0
96,97.0,4.2856447e-09,1.2478946e-08,79365.31,79442.01,79441.87,0.0,0.0
97,98.0,2.4826994e-09,1.782562e-08,61176.957,61165.016,61164.203,0.0,0.0
98,99.0,4.1442645e-09,1.25543265e-08,88650.61,88733.42,88805.89,0.0,0.0
99,100.0,6.4742713e-09,9.626808e-09,49736.21,49722.676,49774.12,0.0,0.0
100,101.0,3.065662e-09,8.983111e-09,79365.31,79442.016,79451.164,0.0,0.0
101,102.0,9.238807e-09,1.2615394e-08,70675.59,70704.555,70744.555,0.0,0.0
102,103.0,3.5739172e-09,1.9600149e-08,78053.83,78112.39,78179.125,0.0,0.0
103,104.0,6.2441012e-09,8.531164e-09,49736.21,49722.68,49752.113,0.0,0.0
104,105.0,7.908619e-09,8.780611e-09,49736.21,49722.676,49740.438,0.0,0.0
105,106.0,2.9887657e-09,1.7864254e-08,66593.62,66604.97,66618.086,0.0,0.0
106,107.0,4.586795e-09,2.4451667e-08,54207.266,54150.805,54109.047,0.0,0.0
107,108.0,2.2173896e-09,1.2580125e-08,61176.973,61165.027,61155.168,0.0,0.0
108,109.0,2.5172822e-09,9.7141175e-09,59644.23,59655.867,59613.188,0.0,0.0
109,110.0,2.0265252e-09,9.074784e-09,91978.13,92062.0,92057.39,0.0,0.0
110,111.0,6.3753567e-09,7.908723e-09,54207.27,54150.8,54102.66,0.0,0.0
111,112.0,2.4084656e-09,8.55877e-09,66593.62,66604.97,66614.55,0.0,0.0
112,113.0,4.531298e-09,3.917542e-08,79365.305,79442.016,79529.766,0.0,0.0
113,114.0,4.2433426e-09,1.7296156e-08,61176.965,61173.652,61191.09,0.0,0.0
114,115.0,3.302803e-08,1.3914308e-07,54207.27,54150.8,54161.61,0.0,0.0
115,116.0,7.312929e-09,1.25473525e-08,45412.86,45280.74,45251.617,0.0,0.0
116,117.0,4.890934e-09,7.021685e-09,49736.21,49722.68,49749.89,0.0,0.0
117,118.0,5.085354e-09,6.008819e-09,70675.59,70698.96,70645.41,0.0,0.0
118,119.0,3.4012244e-09,1.2959242e-08,76862.94,76917.95,76856.984,0.0,0.0
119,120.0,2.502441e-09,1.025162e-08,61176.965,61165.02,61158.082,0.0,0.0
120,121.0,1.247845e-08,4.524763e-08,73025.53,73055.5,73062.67,0.0,0.0
121,122.0,2.0347974e-09,7.671398e-09,76862.93,76917.96,76866.414,0.0,0.0
122,123.0,4.995904e-09,7.528811e-09,61176.965,61173.652,61190.965,0.0,0.0
123,124.0,8.918298e-09,1.6631803e-08,73025.53,73055.5,73055.78,0.0,0.0
124,125.0,1.4785033e-09,7.905696e-09,90597.64,90681.336,90691.77,0.0,0.0
125,126.0,1.3897292e-08,4.717806e-08,59644.23,59655.875,59627.938,0.0,0.0
126,127.0,1.9864512e-09,1.0467257e-08,59644.23,59655.867,59632.08,0.0,0.0
127,128.0,4.343486e-09,1.0544525e-08,78053.83,78112.4,78097.91,0.0,0.0
128,129.0,6.4572037e-09,9.05778e-09,61176.973,61165.02,61184.645,0.0,0.0
129,130.0,2.471651e-09,1.33792115e-08,73025.53,73055.49,73104.63,0.0,0.0
130,131.0,1.891144e-09,5.5359646e-09,61176.965,61173.645,61200.473,0.0,0.0
